FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
30.5,-0.664486,3.34217,-0.517375,-3.69000,29.0765,-3.97254657558035,-5.45266320726632,101.995581232125,0.89996828975,0.03996055845275,-0.3391438575
31,-0.664487,3.34218,-0.517376,-3.69001,29.0766,-3.96961443660283,-5.3657634247624,102.714590219,0.901827819,0.042658786342,-0.341039265
31.5,-0.664488,3.34219,-0.517377,-3.69002,29.0767,-3.96638077669644,-5.27572858892197,103.430741973375,0.90363868775,0.04541314281425,-0.3429346725
32,-0.664489,3.34220,-0.517378,-3.69003,29.0768,-3.96285598854963,-5.1826577066368,104.143774944,0.905400896,0.048223918016,-0.34483008
32.5,-0.664490,3.34221,-0.517379,-3.69004,29.0769,-3.95904984544361,-5.08665253351562,104.853436015625,0.90711444375,0.05109140209375,-0.3467254875
33,-0.664491,3.34222,-0.517380,-3.69005,29.0770,-3.95497158234962,-4.9878174321432,105.559480509,0.908779331,0.054015885194,-0.348620895
33.5,-0.664492,3.34223,-0.517381,-3.69006,29.0771,-3.95062997359057,-4.88625923033927,106.261672180875,0.91039555775,0.05699765746325,-0.3505163025
34,-0.664493,3.34224,-0.517382,-3.69007,29.0772,-3.94603340706669,-4.7820870794176,106.959783224,0.911963124,0.060037009048,-0.35241171
34.5,-0.664494,3.34225,-0.517383,-3.69008,29.0773,-3.94118995504546,-4.67541231244492,107.653594267125,0.91348202975,0.06313423009475,-0.3543071175
35,-0.664495,3.34226,-0.517384,-3.69009,29.0774,-3.93610744151563,-4.5663483025,108.342894375,0.914952275,0.06628961075,-0.356202525
35.5,-0.664496,3.34227,-0.517385,-3.69010,29.0775,-3.93079350610549,-4.45501032093257,109.027481048375,0.91637385975,0.06950344116025,-0.3580979325
36,-0.664497,3.34228,-0.517386,-3.69011,29.0776,-3.92525566456525,-4.3415153956224,109.707160224,0.917746784,0.072776011472,-0.35999334
